Cycle,GNNEpisode,GNNReward,GNNLoss,AGVPeakStress
9,2,9.95,0.0123,0.0
9,3,9.95,0.0123,0.0
9,4,9.95,0.0123,0.0
9,5,9.95,0.0123,0.0
9,6,9.95,0.0123,0.0
9,7,9.95,0.0123,0.0
9,8,9.95,0.0123,0.0
9,9,9.95,0.0123,0.0
9,10,9.95,0.0123,0.0
9,11,9.95,0.0123,0.0
9,12,9.95,0.0123,0.0
9,13,9.95,0.0123,0.0
9,14,9.95,0.0123,0.0
9,15,9.95,0.0123,0.0
9,16,9.95,0.0123,0.0
9,17,9.95,0.0123,0.0
9,18,9.95,0.0123,0.0
9,19,9.95,0.0123,0.0
9,20,9.95,0.0123,0.0
9,21,9.95,0.0123,0.0
9,22,9.95,0.0123,0.0
9,23,9.95,0.0123,0.0
9,24,9.95,0.0123,0.0
9,25,9.95,0.0123,0.0
9,26,9.95,0.0123,0.0
9,27,9.95,0.0123,0.0
9,28,9.95,0.0123,0.0
9,29,9.95,0.0123,0.0
10,0,9.95,0.0123,0.0
10,1,9.95,0.0123,0.0
10,2,9.95,0.0123,0.0
10,3,9.95,0.0123,0.0
10,4,9.95,0.0123,0.0
10,5,9.95,0.0123,0.0
10,6,9.95,0.0123,0.0
10,7,9.95,0.0123,0.0
10,8,9.95,0.0123,0.0
10,9,9.95,0.0123,0.0
10,10,9.95,0.0123,0.0
10,11,9.95,0.0123,0.0
10,12,9.95,0.0123,0.0
10,13,9.95,0.0123,0.0
10,14,9.95,0.0123,0.0
10,15,9.95,0.0123,0.0
10,16,9.95,0.0123,0.0
10,17,9.95,0.0123,0.0
10,18,9.95,0.0123,0.0
10,19,9.95,0.0123,0.0
10,20,9.95,0.0123,0.0
10,21,9.95,0.0123,0.0
10,22,9.95,0.0123,0.0
10,23,9.95,0.0123,0.0
10,24,9.95,0.0123,0.0
10,25,9.95,0.0123,0.0
10,26,9.95,0.0123,0.0
10,27,9.95,0.0123,0.0
10,28,9.95,0.0123,0.0
