Episode,Reward,Collision,TotalDelay,Loss
707,9.95,0,177.00,0.0123
708,9.95,0,177.00,0.0123
709,9.95,0,177.00,0.0123
710,9.95,0,177.00,0.0123
711,9.95,0,177.00,0.0123
712,9.95,0,177.00,0.0123
713,9.95,0,177.00,0.0123
714,9.95,0,177.00,0.0123
715,9.95,0,177.00,0.0123
716,9.95,0,177.00,0.0123
717,9.95,0,177.00,0.0123
718,9.95,0,177.00,0.0123
719,9.95,0,177.00,0.0123
720,9.95,0,177.00,0.0123
721,9.95,0,177.00,0.0123
722,9.95,0,177.00,0.0123
723,9.95,0,177.00,0.0123
724,9.95,0,177.00,0.0123
725,9.95,0,177.00,0.0123
726,9.95,0,177.00,0.0123
727,9.95,0,177.00,0.0123
728,9.95,0,177.00,0.0123
729,9.95,0,177.00,0.0123
730,9.95,0,177.00,0.0123
731,9.95,0,177.00,0.0123
732,9.95,0,177.00,0.0123
733,9.95,0,177.00,0.0123
734,9.95,0,177.00,0.0123
735,9.95,0,177.00,0.0123
736,9.95,0,177.00,0.0123
737,9.95,0,177.00,0.0123
738,9.95,0,177.00,0.0123
739,9.95,0,177.00,0.0123
740,9.95,0,177.00,0.0123
741,9.95,0,177.00,0.0123
742,9.95,0,177.00,0.0123
743,9.95,0,177.00,0.0123
744,9.95,0,177.00,0.0123
745,9.95,0,177.00,0.0123
746,9.95,0,177.00,0.0123
747,9.95,0,177.00,0.0123
748,9.95,0,177.00,0.0123
749,9.95,0,177.00,0.0123
750,9.95,0,177.00,0.0123
751,9.95,0,177.00,0.0123
752,9.95,0,177.00,0.0123
753,9.95,0,177.00,0.0123
754,9.95,0,177.00,0.0123
755,9.95,0,177.00,0.0123
756,9.95,0,177.00,0.0123
757,9.95,0,177.00,0.0123
758,9.95,0,177.00,0.0123
759,9.95,0,177.00,0.0123
760,9.95,0,177.00,0.0123
761,9.95,0,177.00,0.0123
762,9.95,0,177.00,0.0123
763,9.95,0,177.00,0.0123
764,9.95,0,177.00,0.0123
765,9.95,0,177.00,0.0123
766,9.95,0,177.00,0.0123
767,9.95,0,177.00,0.0123
768,9.95,0,177.00,0.0123
769,9.95,0,177.00,0.0123
770,9.95,0,177.00,0.0123
771,9.95,0,177.00,0.0123
772,9.95,0,177.00,0.0123
773,9.95,0,177.00,0.0123
774,9.95,0,177.00,0.0123
775,9.95,0,177.00,0.0123
776,9.95,0,177.00,0.0123
777,9.95,0,177.00,0.0123
778,9.95,0,177.00,0.0123
779,9.95,0,177.00,0.0123
780,9.95,0,177.00,0.0123
781,9.95,0,177.00,0.0123
782,9.95,0,177.00,0.0123
783,9.95,0,177.00,0.0123
784,9.95,0,177.00,0.0123
785,9.95,0,177.00,0.0123
786,9.95,0,177.00,0.0123
787,9.95,0,177.00,0.0123
788,9.95,0,177.00,0.0123
789,9.95,0,177.00,0.0123
790,9.95,0,177.00,0.0123
791,9.95,0,177.00,0.0123
792,9.95,0,177.00,0.0123
793,9.95,0,177.00,0.0123
794,9.95,0,177.00,0.0123
795,9.95,0,177.00,0.0123
796,9.95,0,177.00,0.0123
797,9.95,0,177.00,0.0123
798,9.95,0,177.00,0.0123
799,9.95,0,177.00,0.0123
800,9.95,0,177.00,0.0123
801,9.95,0,177.00,0.0123
802,9.95,0,177.00,0.0123
803,9.95,0,177.00,0.0123
804,9.95,0,177.00,0.0123
805,9.95,0,177.00,0.0123
806,9.95,0,177.00,0.0123
807,9.95,0,177.00,0.0123
808,9.95,0,177.00,0.0123
809,9.95,0,177.00,0.0123
810,9.95,0,177.00,0.0123
811,9.95,0,177.00,0.0123
812,9.95,0,177.00,0.0123
813,9.95,0,177.00,0.0123
814,9.95,0,177.00,0.0123
815,9.95,0,177.00,0.0123
816,9.95,0,177.00,0.0123
817,9.95,0,177.00,0.0123
818,9.95,0,177.00,0.0123
